OBJECTID,COUNTY,COUNTY_ID,DESIGNATIO,DESCRIPTIO,HWY_NAME,BILL,DEDICATED,EFFECTIVE_,District,Local_Name,BILL_URL,CreationDa,Creator,EditDate,Editor,MemId,Shape_Leng,LOCAL_RES,GlobalID,Shape__Length,Matched Name,dept_url,url,name,age,tour,badge,cause,weapon,incident_description,bio_section_raw,incident_details_raw,wikipedia_url_sam,Does_Sam_Think_is_real,dob_sam,status,match_confidence,validated,validation_notes,summary,education,dod_sam,place_of_birth,place_of_death,gender_sam,involved_in_sports,involved_in_politics,involved_in_military,involved_in_music,name_sam
11,Gulf,51,Gulf County Veterans Memorial Highway,"That portion of S.R. 71 between Knowles Avenue and the Calhoun County line in Gulf County is designated as ""Gulf County Veterans Memorial Highway.""", ,CS/CS/SB 820,2014/07/01 05:00:00+00,2014,3, , ,, ,, ,11,47876.1625394,0,76fa6b39-a214-4ba8-8895-2be7ced38957,55372.1306605409,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Jeffrey_Hutchinson,no,,Found,55.3,TRUE,seq=6.3; last-mismatch:-4; human:+40; fl:+10; us:+5,"Jeffrey Hutchinson was an American criminal convicted of the 1985 murders of the Flaherty family in Anchorage, Alaska. Born in the mid-20th century, he became one of Alaska’s most notorious death row inmates after being sentenced to death in 1987. His case drew significant legal attention due to the brutality of the crimes and the subsequent appeals process. Hutchinson died by lethal injection in 1998, marking Alaska’s first and only execution since gaining statehood.",,1998-02-20,not found,"Springfield, Oregon, United States",male,no,no,no,no,Gulf County Veterans
12,Hillsborough,10,Sergeant Paul Smith Memorial Highway,"That portion of U.S. 301/S.R. 43 between S.R. 574/Martin Luther King, Jr., Boulevard and S.R. 60/E. Adamo Drive in Hillsborough County is designated as ""Sergeant Paul Smith Memorial Highway.""",US-301,CS/CS/SB 820,2014/07/01 05:00:00+00,2014,7, , ,, ,, ,12,3688.57484887,0,2f4836c0-6475-4184-936e-95ed2aef036c,4194.27927606592,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Matt_Gaetz,no,1982-05-07,Found,55.9,TRUE,seq=6.9; last-mismatch:-4; human:+40; fl:+10; us:+5,"Matthew Louis Gaetz II was born on May 7, 1982, in Hollywood, Florida, USA. He is an American politician and attorney who has served as the U.S. Representative for Florida's 1st congressional district since 2017. Prior to his federal role, Gaetz was a member of the Florida House of Representatives from 2010 to 2016, where he gained attention for his conservative stances. Known for his alignment with populist and libertarian-leaning policies, he has been a prominent and often controversial figure in national politics, particularly as a staunch ally of former President Donald Trump.","['Florida State University, BS in Interdisciplinary Sciences (2003)', 'College of William & Mary, JD (2007)']",,"Hollywood, Florida, United States",not found,male,no,yes,no,no,Sergeant Paul Smith
13,Lake,11,Sergeant Marvin L. Roberts Memorial Highway,"That portion of S.R. 19 between S.R. 50 and C.R. 478/Cherry Lake Road in Lake County is designated as ""Sergeant Marvin L. Roberts Memorial Highway.""",SR-19,CS/CS/SB 368,2017/07/01 05:00:00+00,2017,5,CR-561/Minneola Ave/8th St/Lake Dr/C-561/Monroe St/Duncan Dr/Lake Minneola Dr/S Main St, ,, ,, ,13,3179.67885955,0,3a25179f-25ee-4002-af44-ad291a4fa80a,3636.35327892956,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Bill_Hudson_%28photographer%29,no,1949-01-01,Found,55,TRUE,seq=2.2; last-mismatch:-4; human:+40; fl:+10; us:+5,"Bill Hudson was a British photographer best known for his work documenting the punk rock scene in London during the late 1970s and early 1980s. Born in 1949, he captured iconic images of bands like The Clash, The Sex Pistols, and The Jam, contributing significantly to the visual history of punk culture. His photographs were widely published in music magazines and later compiled in books, cementing his legacy in music photography. Hudson passed away in 2023, leaving behind a lasting influence on rock and punk visual documentation.",,2023-01-01,not found,not found,male,no,no,no,yes,Sergeant Marvin L. Roberts
14,Lake,11,Specialist Alexander Miller Memorial Highway,"That portion of S.R. 50 between U.S. 27/S.R. 25 and Hancock Road in Lake County is designated as ""Specialist Alexander Miller Memorial Highway.""", ,CS/CS/SB 820,2014/07/01 05:00:00+00,2014,5, , ,, ,, ,14,3551.05833953,0,1535e20e-36a5-4bf8-9613-36a5e67599bb,4040.89582250338,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Lawrence_Lottenberg,no,,Found,56,TRUE,seq=7.0; last-mismatch:-4; human:+40; fl:+10; us:+5,"Lawrence Lottenberg was an American businessman and philanthropist best known for his leadership in the retail industry. He served as the CEO of Bon-Ton Stores, Inc., contributing significantly to its growth and expansion. Lottenberg was recognized for his professional achievements, including awards and community involvement. His career left a lasting impact on the retail sector and corporate leadership practices.","['University of Pennsylvania, Wharton School of Business, Bachelor of Science in Economics']",2023-06-15,not found,not found,male,no,no,no,no,Specialist Alexander Miller
15,Lake,11,Sheriff Chris Daniels Memorial Highway,"That portion of S.R. 19 between Lane Park Cutoff Road and U.S. 441 in Lake County is designated as ""Sheriff Chris Daniels Memorial Highway.""",SR-19,CS/CS/SB 382,2018/07/01 05:00:00+00,2018,5,, ,, ,, ,15,4602.30267501,0,a0fa12f3-a8b0-4e13-98a3-7bc33a117851,5271.21683518549,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Ben_Daniels_%28pioneer%29,no,1852-01-01,Found,50.2,TRUE,seq=11.2; human:+40; fl-miss:-10; us:+5,"Ben Daniels was an American frontier lawman and pioneer born in 1852, known for his roles in the Wild West era. He served as a deputy marshal in Dodge City, Kansas, and later became the United States Marshal for the Territory of Arizona. Daniels was also a member of the Rough Riders during the Spanish-American War and played a key part in the Gray County War. His career reflected the tumultuous law enforcement challenges of the late 19th and early 20th centuries in the American West.",,,not found,not found,male,no,yes,yes,no,Sheriff Chris Daniels
16,Leon,55,CK Steele Memorial Highway,"That portion of State Road 371/373/Orange Avenue between State Road 263/Capital Circle Southwest and State Road 61/Monroe Street in Leon County is designated as ""CK Steele Memorial Highway.""", ,CS/CS/SB 382,2018/07/01 05:00:00+00,2018,3,Orange Avenue, ,, ,, ,18,7006.92313465,1,ca66f8e1-3be0-4b9d-bfd0-12edc7796dd6,8113.89763784363,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Charles_Kenzie_Steele,yes,1914-01-01,Found,66,TRUE,seq=12.0; human:+40; fl:+10,"Charles Kenzie Steele (1914–1980) was an American civil rights leader and pastor who played a pivotal role in the Tallahassee bus boycott of 1956. As president of the Tallahassee chapter of the NAACP and a close associate of Martin Luther King Jr., he helped organize nonviolent protests against racial segregation. Steele also served as the first vice president of the Southern Christian Leadership Conference (SCLC), advocating for equality and justice. His leadership and activism left a lasting impact on the Civil Rights Movement in the United States.","['Morehouse College, Bachelor of Arts', 'School of Theology at Boston University, Master of Divinity']",1980-09-19,"Bluefield, West Virginia, United States","Tallahassee, Florida, United States",male,no,yes,no,no,CK Steele
17,Okaloosa,57,Deputies Tony Forgione and Bill Myers Memorial Bridge,"Bridge number 570018 on S.R. 85/Eglin Parkway over Garnier Bayou in Okaloosa County is designated as ""Deputies Tony Forgione and Bill Myers Memorial Bridge.""", ,CS/CS/SB 382,2018/07/01 05:00:00+00,2018,3,Eglin Parkway, ,, ,, ,16,469.907796678,0,85aa1af8-0159-44d1-96c4-96e7ea56841e,545.095046791493,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Yasser_Arafat,no,1929-08-24,Found,30,TRUE,seq=2.4; last-mismatch:-4; human:+40; fl-miss:-10,"Yasser Arafat was born on August 24, 1929, in Cairo, Egypt, and died on November 11, 2004, in Clamart, France. He was a Palestinian political leader and the Chairman of the Palestine Liberation Organization (PLO) from 1969 until his death, playing a pivotal role in the Palestinian nationalist movement. Arafat co-founded the militant group Fatah in the 1950s and later became a symbol of Palestinian resistance and diplomacy, engaging in peace negotiations like the Oslo Accords. His leadership and controversial legacy remain central to Middle Eastern geopolitics and the Israeli-Palestinian conflict.","[""University of King Fuad I (now Cairo University), Bachelor's in Civil Engineering""]",2004-11-11,"Cairo, Egypt","Clamart, Île-de-France, France",male,no,yes,yes,no,Deputy Tony Forgione
18,Okaloosa,57,"John B. Arnold, Jr., Memorial Highway","That portion of S.R. 190/Valparaiso Parkway between S.R. 85/Government Avenue and S.R. 397/John Sims Parkway in Okaloosa County is designated as ""John B. Arnold, Jr., Memorial Highway.""", ,CS/CS/SB 382,2018/07/01 05:00:00+00,2018,3, , ,, ,, ,17,1977.38670696,0,660e7201-3f86-4b69-92c0-8fe6af7db2e0,2286.97517600287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Pinellas,15,"Gold Star Family Memorial Bridge, dedicated to U.S. Army CPL Frank R. Gross","Bridge numbers 150202 and 150203 on S.R. 580/Main Street in Pinellas County are designated as ""Gold Star Family Memorial Bridge, dedicated to U.S. Army CPL Frank R. Gross.""",SR-579,CS/CS/SB 382,2018/07/01 05:00:00+00,2018,7,, ,, ,, ,19,652.02333929,0,4091f6a0-deb6-4e0c-877b-a2649a663072,739.912734548164,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Frank_Buckles,no,1901-02-01,Found,35.8,TRUE,seq=6.8; last-mismatch:-4; human:+40; fl-miss:-10; us:+5,"Frank Woodruff Buckles was born on February 1, 1901, and died on February 27, 2011, at the age of 110. He was the last surviving American veteran of World War I, having enlisted in the U.S. Army at age 16 by falsifying his birth records. After the war, he worked in shipping and was later captured as a civilian during World War II, spending over three years in a Japanese prisoner-of-war camp. Buckles became a national symbol of veterans' service and longevity, advocating for WWI memorials and receiving honors for his military contributions.",,2011-02-27,"Bethany, Missouri, United States","Charles Town, West Virginia, United States",male,no,no,yes,no,U.S. Army CPL Frank R. Gross
20,Collier,3,Submarine Veterans Memorial Highway,"That portion of I-75/S.R. 93 (03175000) between mile marker 110 and the Broward County line in Collier County is designated as ""Submarine Veterans Memorial Highway.""", ,CS/CS/SB 382,2018/07/01 05:00:00+00,2018,1, , ,, ,, ,20,7315.19592677,0,52f90c85-43f7-4f64-b63a-8b0745860f6c,8199.0263719789,,,,,,,,,,,,,https://en.wikipedia.org/wiki/LeRoy_Collins_Jr.,no,,Found,55,TRUE,seq=5.7; last-mismatch:-4; human:+40; fl:+10; us:+5,"LeRoy Collins Jr. was an American politician and the son of former Florida Governor LeRoy Collins. He served as a member of the Florida House of Representatives from 1968 to 1972, representing Leon County. Collins Jr. was known for his advocacy in education and civil rights, continuing his father's progressive political legacy. His career contributed to Florida's political development during the late 20th century, though specific birth and death dates are not widely documented.",,,not found,not found,male,no,yes,no,no,Submarine Veterans
21,Seminole,77,Dr. R.C. Sproul Way,"That portion of S.R. 46 between International Parkway and S.R. 431/Orange Boulevard in Seminole County is designated as ""Dr. R.C. Sproul Way.""", ,CS/CS/SB 382,2018/07/01 05:00:00+00,2018,5, , ,, ,, ,21,1483.63353038,0,da2f5067-e8cd-4767-bd43-47440267087c,1692.63200928182,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Bob_Dole,no,1923-07-22,Found,55,TRUE,seq=5.2; last-mismatch:-4; human:+40; fl:+10; us:+5,"Robert Joseph Dole was born on July 22, 1923, and died on December 5, 2021. He was a prominent American politician who served as a U.S. Senator from Kansas for nearly three decades (1969–1996) and was the Republican Party's nominee for President in 1996. A decorated World War II veteran, Dole overcame severe combat injuries to build a long career in public service, including roles as Senate Majority Leader and a key figure in bipartisan legislation. His legacy includes advocacy for disability rights and his influence on American conservative politics during the late 20th century.","['University of Kansas, BA in Political Science and Economics (1952)', 'Washburn University, Law Degree (1952)']",2021-12-05,"Russell, Kansas, United States","Washington, D.C., United States",male,yes,yes,yes,no,Dr. R.C. Sproul
22,Volusia,79,David G. Ledgerwood Memorial Highway,"That portion of S.R. 415 between Acorn Lake Road and Reed Ellis Road in Volusia County is designated as ""David G. Ledgerwood Memorial Highway.""", ,CS/CS/SB 382,2018/07/01 05:00:00+00,2018,5, , ,, ,, ,22,7781.78635956,0,af832da6-c004-4b8c-859a-3f5691b8f9e5,8914.42478076943,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Judy_Ledgerwood,no,1959-01-01,Found,53.1,TRUE,seq=14.1; human:+40; fl-miss:-10; us:+5,"Judy Ledgerwood is an American contemporary artist known for her vibrant abstract paintings and large-scale installations. Born in 1959, she has gained recognition for her exploration of color, pattern, and spatial relationships across various artistic phases, including landscape-inspired and circular-motif abstractions. Her works are held in major public collections, including the Art Institute of Chicago and the Metropolitan Museum of Art. Ledgerwood has also contributed to public art through site-specific wall paintings and exhibitions worldwide.","['The School of the Art Institute of Chicago, BFA', 'The School of the Art Institute of Chicago, MFA']",,not found,not found,female,no,no,no,no,David G. Ledgerwood
23,Alachua,26,Rev. Dr. Thomas A. Wright Boulevard,"That portion of C.R. 1476/N.E. 8th Avenue between N.E. 15th Street and N.E. 26th Terrace in Alachua County is designated as ""Rev. Dr. Thomas A. Wright Boulevard.""", ,CS/CS/SB 368,2017/07/01 05:00:00+00,2017,2,NE 8th Ave/NE 25th Ave, ,, ,, ,23,1305.00952524,0,a7217188-a96f-41a7-b1c6-35083065cbe5,1500.84336142104,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Thomas_A._Wright_Sr.,yes,1898-01-01,Found,58.2,TRUE,seq=14.2; last-mismatch:-4; human:+40; fl:+10,"Thomas A. Wright Sr. was an African American religious leader, educator, and civil rights activist born in 1898. He served in the U.S. military during World War I and later became a prominent minister in the African Methodist Episcopal (AME) Church. Wright was also a dedicated advocate for racial equality, contributing to community organizing and educational initiatives. His legacy includes leadership in religious education and activism during the early-to-mid 20th century.","['Elementary education in segregated schools (likely in the American South)', 'Religious training (likely through the African Methodist Episcopal Church)']",,not found,not found,male,no,yes,yes,no,Rev. Dr. Thomas A. Wright
24,Broward,86,Candice Ellize Francois Street,"That portion of Palm Avenue between Pembroke Road and Miramar Parkway in Broward County is designated as ""Candice Ellize Francois Street.""", ,CS/CS/SB 368,2017/07/01 05:00:00+00,2017,4,Palm Avenue, ,, ,, ,24,1451.19659171,0,0fe67f30-0791-416a-8140-ef11eb00130e,1622.71198813271,,,,,,,,,,,,,Not Found,no,,Not Found,0,FALSE,no-candidates,,,,,,,,,,,Candice Ellize Francois
25,Jackson,53,Governor Mixson Highway,"That portion of S.R. 73 between the Calhoun County line and U.S. 231 in Jackson County is designated as ""Governor Mixson Highway.""",SR-73,CS/CS/SB 820,2014/07/01 05:00:00+00,2014,3, , ,, ,, ,25,39894.2806658,0,b706e2eb-4cc1-4d3f-b1ab-dbf1f4fbc489,46437.9009763333,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Wayne_Mixson,yes,1922-06-16,Found,70.9,TRUE,seq=11.9; human:+40; fl:+10; us:+5,"Wayne Mixson was born on June 16, 1922, in New Brockton, Alabama, and passed away on July 10, 2020. He was an American politician who served as the 39th Governor of Florida for three days in January 1987, following the resignation of Governor Bob Graham. Prior to this, Mixson held roles as a state legislator in the Florida House of Representatives (1967–1972) and as Lieutenant Governor of Florida (1979–1987). Known for his agricultural advocacy, he was also a prominent leader in the Florida Farm Bureau and a World War II veteran in the U.S. Army Air Forces.","['University of Florida, Bachelor of Science in Agriculture (1949)', 'University of Florida, Juris Doctor (1951)']",2020-07-10,"New Brockton, Alabama, United States","Jacksonville, Florida, United States",male,no,yes,yes,no,Governor Mixson
26,Broward,86,The Hope and Healing Highway,"That portion of U.S. 1 between Broward Boulevard and Sunrise Boulevard, in Broward County, is designated as ""The Hope and Healing Highway.""",US-1/SR-5,CS/CS/SB 368,2017/07/01 05:00:00+00,2017,4, , ,, ,, ,26,1679.95431153,0,b109eabd-587d-48e9-891a-27e993282ce2,1880.03666588836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Broward,86,John U. Lloyd Bridge,"Bridge Number 860920 over the Stranahan River in Broward County is designated as ""John U. Lloyd Bridge.""",SR-A1A,CS/CS/SB 368,2017/07/01 05:00:00+00,2017,4,Dania Beach Boulevard, ,, ,, ,27,156.470692776,0,01706cb0-6a30-4c56-a1a9-36a80419306f,174.109740003797,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Eula_Johnson,no,1916-01-01,Found,57,TRUE,seq=8.0; last-mismatch:-4; human:+40; fl:+10; us:+5,"Eula Johnson was a civil rights activist best known for her leadership in the 1960s desegregation efforts in St. Augustine, Florida. Born in 1916, she played a pivotal role in organizing protests and sit-ins that contributed to the passage of the Civil Rights Act of 1964. As president of the local NAACP Youth Council, she mentored young activists and worked closely with figures like Dr. Martin Luther King Jr. Johnson's advocacy left a lasting legacy in the fight for racial equality, though her exact death date remains undocumented in widely available sources.",,,"St. Augustine, Florida, United States",not found,female,no,yes,no,no,John U. Lloyd
