state,highway_name,route_no,from_location,to_location,county,person_name,wikipedia_url,match_confidence,validated,validation_notes,correct_person,summary,education,dob,dod,place_of_birth,place_of_death,gender,involved_in_sports,involved_in_politics,involved_in_military,involved_in_music,odmp_url,odmp_name,odmp_bio,odmp_age,odmp_tour,odmp_badge,odmp_cause,odmp_end_of_watch,odmp_incident_details,odmp_fuzzy_score
Arkansas,Levon Helm Memorial Highway,US-49,Marvell,Helena,,Levon Helm,https://en.wikipedia.org/wiki/Levon_Helm,55.0,true,seq=20.0; human:+40; state-miss(Arkansas):-10; us:+5,true,"Levon Helm was an American musician and actor born on May 26, 1939, in Elaine, Arkansas. He was the drummer and vocalist for the influential rock group The Band. Helm also had a successful solo career and acted in several films. He passed away on April 19, 2012, in New York City, leaving a significant legacy in American music.",[],1939-05-26,2012-04-19,"Elaine, Arkansas, United States","New York City, New York, United States",male,no,no,no,yes,,,,,,,,,,
Arkansas,Louis Jordan Memorial Highway,US-49,Brinkley,Marvell,,Louis Jordan,https://en.wikipedia.org/wiki/Charley_Jordan,71.3,true,seq=12.3; human:+40; state(Arkansas):+10; us:+5,false,"[UNVERIFIED] The Wikipedia article for 'Charley Jordan' appears to be about a blues musician, not a person typically honored with a memorial highway in Arkansas. The highway is named after 'Louis Jordan' (a famous jazz and blues musician from Arkansas), but the article retrieved is for 'Charley Jordan', indicating a mismatch in the person's name.",[],,,not found,not found,not found,no,no,no,no,,,,,,,,,,
Arkansas,Sister Rosetta Tharpe Memorial Highway,AR-17,Cotton Plant,Brinkley,,Sister Rosetta Tharpe,https://en.wikipedia.org/wiki/Al_Green,55.0,true,seq=2.8; last-mismatch:-4; human:+40; state(Arkansas):+10; us:+5,false,"[UNVERIFIED] The Wikipedia article is for Al Green, a soul singer and pastor, but the highway is named after Sister Rosetta Tharpe, a pioneering gospel and rock guitarist. The names do not match, and Al Green has no known connection to a memorial highway named after Sister Rosetta Tharpe in Arkansas.",[],,,not found,not found,not found,no,no,no,no,,,,,,,,,,
Arkansas,Americana Music Highway,US-61,West Memphis,Blytheville,,Americana Music,https://en.wikipedia.org/wiki/Zach_Williams_%28musician%29,55.0,true,seq=4.3; last-mismatch:-4; human:+40; state(Arkansas):+10; us:+5,false,"[UNVERIFIED] The article provided is only a Wikipedia navigation menu and does not contain any content about Zach Williams. Without article content, there is no evidence that this Zach Williams is a musician connected to Arkansas or the 'Americana Music Highway.' The highway name suggests a connection to music, but the provided snippet does not confirm the subject's identity or relevance.",[],,,not found,not found,not found,no,no,no,no,,,,,,,,,,
Alaska,Edgerton Highway,,Richardson Highway,Chitina,,,,,,no person name extracted,,,,,,,,,,,,,,,,,,,,,,
Alaska,Elliott Highway,AK-2,,Manley Hot Springs (MP 154),,,,,,no person name extracted,,,,,,,,,,,,,,,,,,,,,,
Alaska,George Parks Highway,,Anchorage,Fairbanks,,George Parks,https://en.wikipedia.org/wiki/George_Alexander_Parks,75.0,true,seq=14.1; human:+40; state(Alaska):+10; us:+5,true,"George Alexander Parks was an American politician who served as the Governor of Alaska from 1925 to 1933. He was born on August 29, 1877, in New York City, New York, United States. His tenure as governor was marked by significant infrastructure development and the establishment of the Alaska Railroad. He died on March 11, 1954, in San Francisco, California.",[],1877-08-29,1954-03-11,"New York City, New York, United States","San Francisco, California, United States",male,no,yes,no,no,,,,,,,,,,
Alaska,Richardson Highway,,Valdez,Fairbanks,,,,,,no person name extracted,,,,,,,,,,,,,,,,,,,,,,
Alaska,Steese Highway,AK-6,Fairbanks,Circle,,,,,,no person name extracted,,,,,,,,,,,,,,,,,,,,,,
Alaska,James W. Dalton Highway,,,,,James W. Dalton,https://en.wikipedia.org/wiki/Josephine_Earp,55.0,true,seq=2.8; last-mismatch:-4; human:+40; state(Alaska):+10; us:+5,false,"[UNVERIFIED] The highway is named after James W. Dalton, an Alaska road engineer, but the Wikipedia article is for Josephine Earp, a figure from the American Old West with no connection to Alaska or highway naming.",[],,,not found,not found,not found,no,no,no,no,,,,,,,,,,
Nevada,Micah David May Memorial Highway,I-15,near West Sahara Avenue,,,Micah David May,https://en.wikipedia.org/wiki/David_Faustino,58.7,true,seq=9.7; last-mismatch:-4; human:+40; state(Nevada):+10; us:+5,false,"[UNVERIFIED] The Wikipedia article is for David Faustino, an American actor known for his role on 'Married... with Children,' with no connection to Nevada or a memorial highway. The highway is named after Micah David May, a Nevada Army National Guard soldier killed in Afghanistan, which is a different person entirely.",[],,,not found,not found,not found,no,no,no,no,https://www.odmp.org/officer/25382-trooper-micah-david-may,Trooper Micah David May,"Trooper Micah May succumbed to injuries sustained the previous day when he was struck by a fleeing vehicle on I-15 while deploying spike strips. Officers with the Nevada Division of Parole and Probation and other troopers had chased the stolen vehicle for approximately 20 miles. Trooper May was deploying spike strips on I-15, in the area of West Sahara Avenue in Las Vegas, when he was struck by the vehicle and went through the windshield. The subject was then shot and killed by other troopers as he reached for Trooper May's service weapon. Trooper May was flown to University Medical Center where he succumbed to his injuries on July 29th, 2021. Trooper May had served with the Nevada Highway Patrol for 13 years. He is survived by his wife of 13 years, two children, his parents and two brothers.",46,13 years,6203,Vehicular assault,"Thursday, July 29, 2021","Cause: Vehicular assault Incident Date: Tuesday, July 27, 2021 Weapon: Automobile Offender: Shot and killed",100.0
Nevada,Benjamin Michael Jenkins Memorial Highway,US-93,near U.S. 93 Alternate junction (north of Ely),,,Benjamin Michael Jenkins,https://en.wikipedia.org/wiki/Mike_Matusow,55.7,true,seq=6.7; last-mismatch:-4; human:+40; state(Nevada):+10; us:+5,false,"[UNVERIFIED] The Wikipedia article is about Mike Matusow, a professional poker player, not Benjamin Michael Jenkins. The highway is named 'Benjamin Michael Jenkins Memorial Highway' in Nevada, and the article subject does not match the name. Additionally, a poker player's background does not typically warrant a highway memorial, which is more common for law enforcement, military, or local figures.",[],,,not found,not found,not found,no,no,no,no,https://www.odmp.org/officer/24514-sergeant-benjamin-michael-jenkins,Sergeant Benjamin Michael Jenkins,"Sergeant Ben Jenkins was shot and killed when he stopped to assist a disabled motorist on US-93 near mile marker 106 in White Pine County shortly before 6:00 am. During the encounter with the subject, the man fatally shot Sergeant Jenkins. The man then stole Sergeant Jenkins' uniform and patrol car and fled the area. He was apprehended several hours later following a massive manhunt involving numerous agencies. The subject pleaded “guilty but mentally ill” to first-degree murder, third-degree arson, grand larceny of a motor vehicle, and grand larceny of a firearm. He was sentenced to life without the possibility of parole. Sergeant Jenkins was a veteran of both the Army National Guard and the Air National Guard who had served with the Nevada Highway Patrol for 12 years and previously served with the Nevada State Fire Marshal Division and with the Nevada Division of Forestry. He is survived by his wife, four children, five grandchildren, and his mother.",47,12 years,4196,Gunfire,"Friday, March 27, 2020",Cause: Gunfire Weapon: Gun; Unknown type Offender: Life without parole,100.0
Nevada,Jack Lee Spencer,Sr. Memorial Highway,I-80,approximately 20 miles east of Fernley (east of exit 65 Nightingale interchange),,,,,,no person name extracted,,,,,,,,,,,,,,,,,,,,,,
Nevada,Carlos J. Borland Memorial Highway,I-80,approximately 1 mile east of Lovelock (near Humboldt River crossing),,,Carlos J. Borland,https://en.wikipedia.org/wiki/Nick_Saban,51.4,true,seq=7.4; last-mismatch:-4; human:+40; state(Nevada):+10,false,"[UNVERIFIED] The Wikipedia article is about Nick Saban, a famous football coach, but the highway is named 'Carlos J. Borland Memorial Highway' and is located in Nevada. There is no indication that Nick Saban is connected to Nevada or that the highway is named after him; the names do not match.",[],,,not found,not found,not found,no,no,no,no,https://www.odmp.org/officer/580-trooper-carlos-jose-juan-borland,Trooper Carlos Jose Juan Borland,"Trooper Carlos Borland was shot and killed when he stopped a car on I-80, two miles east of Lovelock, Nevada, whose driver was wanted for not paying for gasoline at 8:50 pm. Unbeknownst to Trooper Borland, the suspect had just murdered two people in Texas, and the vehicle was stolen. Before stopping the car, Trooper Borland had requested a check on the plates, but the plates had not yet been entered into NCIC. As he approached the vehicle, the man pulled out a .38 caliber handgun and shot him in the head. A trucker reported the officer down, and he was taken to Washoe Medical Center in Reno, where he succumbed to his injuries. The suspect was apprehended later that day.  The suspect had escaped from a North Carolina jail on November 16th. He was convicted of Trooper Borland's murder and sentenced to death. He died while on death row. Trooper Borland was a United States Army veteran who served with the Nevada Highway Patrol for one year and was assigned to Lovelock. He was survived by his parents.",25,1 year,6432,Gunfire,"Wednesday, December 1, 1993","Cause: Gunfire Incident Date: Tuesday, November 30, 1993 Weapon: Handgun; .38 caliber Offender: Sentenced to death",93.33333333333333
Nevada,Creighton Travis Spencer Memorial Highway,I-80,approximately 10 miles west of Elko (west of exit 292 Hunter interchange),,,Creighton Travis Spencer,,35.0,false,seq=5.4; last-mismatch:-4; human:+40; state-miss(Nevada):-10; us:+5,,,,,,,,,,,,,,,,,,,,,,
Nevada,Franklin J. Minnie,Sr. Memorial Highway,I-80,near Verdi exit 4,,,,,,no person name extracted,,,,,,,,,,,,,,,,,,,,,,
Nevada,Anthony Francone Memorial Highway,SR-446,near SR-447 intersection,,,Anthony Francone,,35.0,false,seq=5.9; last-mismatch:-4; human:+40; state-miss(Nevada):-10; us:+5,,,,,,,,,,,,,,,,,,,,,,
North Dakota,Theodore Roosevelt Expressway,US 85 / US 2,US 85: South Dakota border to junction with US 2; US 2: Montana border to junction with US 85,,,,,,,no person name extracted,,,,,,,,,,,,,,,,,,,,,,
North Dakota,Yellowstone Trail,US 12,South Dakota border,Montana border,,,,,,no person name extracted,,,,,,,,,,,,,,,,,,,,,,
North Dakota,Veterans Memorial Highway,ND 22,South Dakota border,Junction of ND 22 and ND 23,,,,,,no person name extracted,,,,,,,,,,,,,,,,,,,,,,
North Dakota,Akicita (Veteran) Memorial Highway,ND 57,Junction of US 281 and ND 57,Junction of ND 57 and ND 20,,,,,,no person name extracted,,,,,,,,,,,,,,,,,,,,,,
North Dakota,Trooper Beryl McLane Memorial Highway,ND 13,Edgeley,LaMoure,,Trooper Beryl McLane,https://en.wikipedia.org/wiki/Kyle_Green,50.0,true,seq=5.3; last-mismatch:-4; human:+40; le:+15; state-miss(North Dakota):-10; us:+5,false,"[UNVERIFIED] The Wikipedia article appears to be a generic page or placeholder (likely a disambiguation or stub page) with no specific information about a person named Kyle Green. The highway is named after 'Trooper Beryl McLane,' which suggests a law enforcement officer, but the article does not mention Beryl McLane, North Dakota, or any relevant connection. The name mismatch (Kyle Green vs. Beryl McLane) and lack of supporting details indicate this is not the correct person.",[],,,not found,not found,not found,no,no,no,no,,,,,,,,,,
North Dakota,PFC Henry Gurke Memorial Highway,ND 18,Intersection with ND 5,Canadian border,,PFC Henry Gurke,https://en.wikipedia.org/wiki/Henry_Gurke,55.0,true,seq=16.9; human:+40; state-miss(North Dakota):-10; us:+5,false,"[UNVERIFIED] The provided Wikipedia article content is only the site navigation and does not contain any information about Henry Gurke, such as his biography, connection to North Dakota, or military service. Without confirming the article's subject matches the person honored by the highway, we cannot validate it.",[],,,not found,not found,not found,no,no,no,no,,,,,,,,,,
North Dakota,North Dakota Fallen Peace Officers Memorial Highway,ND 200,Minnesota border,Montana border,,,,,,no person name extracted,,,,,,,,,,,,,,,,,,,,,,
Illinois,CPL Richard L Daugherty Memorial Highway,IL Route 3,IL Route 156,Vanderbrook Drive in Waterloo,,Richard L Daugherty,https://en.wikipedia.org/wiki/Tommy_Tuberville,50.0,true,seq=4.6; last-mismatch:-4; human:+40; mil:+15; state-miss(Illinois):-10; us:+5,false,"[UNVERIFIED] The highway is named after CPL Richard L Daugherty, but the Wikipedia article is about Tommy Tuberville, a U.S. Senator from Alabama and former football coach, with no connection to Illinois or the memorial's namesake.",[],,,not found,not found,not found,no,no,no,no,,,,,,,,,,
Illinois,SPC Brandon Jacob Rowe Memorial Highway,IL Route 251,Bridge Street,Rockton Road in Roscoe,,SPC Brandon Jacob Rowe,,0.0,false,seq=5.5; last-mismatch:-4; state-miss(Illinois):-10; us:+5,,,,,,,,,,,,,,,,,,,,,,
Illinois,SGT Brian M Romines Memorial Highway,IL Route 146,Anna,Vienna,,SGT Brian M Romines,,0.0,false,seq=4.6; last-mismatch:-4; state-miss(Illinois):-10,,,,,,,,,,,,,,,,,,,,,,
Illinois,"CWO4 John W Frederick, Jr., Memorial Highway",I-155,I-74,IL Route 9,,John W Frederick,https://en.wikipedia.org/wiki/John_Frederick_Nims,73.0,true,seq=16.0; last-mismatch:-4; human:+40; state(Illinois):+10; us:+5,false,"[UNVERIFIED] The highway is named after 'CWO4 John W Frederick, Jr.', a military officer (Chief Warrant Officer 4), while the Wikipedia article is about 'John Frederick Nims', who was a poet and academic. The names do not match, and there is no indication that Nims had a military or law enforcement background relevant to a highway memorial in Illinois.",[],,,not found,not found,not found,no,no,no,no,,,,,,,,,,
Illinois,LCPL Nicholas Kleiboeker Memorial Highway,US Route 50,,through Odin,,LCPL Nicholas Kleiboeker,,0.0,false,no-candidates,,,,,,,,,,,,,,,,,,,,,,
Illinois,Bruce Alan Williams Memorial Highway,US Route 40,,at St. Elmo,,Bruce Alan Williams,https://en.wikipedia.org/wiki/Blind_Connie_Williams,71.0,true,seq=12.0; human:+40; state(Illinois):+10; us:+5,false,"[UNVERIFIED] The Wikipedia article is for 'Blind Connie Williams', a blues musician, but the highway is named after 'Bruce Alan Williams'. The names do not match, and there is no indication that 'Blind Connie Williams' is connected to Bruce Alan Williams or to Illinois in a way that would justify the memorial highway naming.",[],,,not found,not found,not found,no,no,no,no,,,,,,,,,,
Illinois,SP4 William Eugene Campbell Memorial Highway,IL Route 47,,through Gibson City,,,,,,no person name extracted,,,,,,,,,,,,,,,,,,,,,,
Illinois,SGT Bernard Lee Franke Memorial Highway,IL Route 138,,through Mt. Olive,,SGT Bernard Lee Franke,,33.1,false,seq=9.1; last-mismatch:-4; human:+40; state-miss(Illinois):-10,,,,,,,,,,,,,,,,,,,,,,
Idaho,Veterans Memorial Centennial Bridge,I-90,Bennett Bay bridge in Kootenai County,,,,,,,no person name extracted,,,,,,,,,,,,,,,,,,,,,,
Idaho,I.B. Perrine Bridge,US-93,Snake River Canyon bridge south of I-84 near Twin Falls,,,I.B. Perrine,https://en.wikipedia.org/wiki/I._B._Perrine,70.0,true,seq=19.2; human:+40; state(Idaho):+10,false,"[UNVERIFIED] The provided Wikipedia article text is only a generic navigation menu and does not contain any content about a person named 'I. B. Perrine'. Without biographical details, it cannot be confirmed that the article is about the individual associated with the I.B. Perrine Bridge in Idaho.",[],,,not found,not found,not found,no,no,no,no,,,,,,,,,,
Idaho,Stu Dopf Memorial Highway,US-95,Midvale,Cambridge,,Stu Dopf,,0.0,false,seq=4.4; last-mismatch:-4; state-miss(Idaho):-10; us:+5,,,,,,,,,,,,,,,,,,,,,,
Idaho,Purple Heart Trail,I-90,Washington border,Montana border,,,,,,no person name extracted,,,,,,,,,,,,,,,,,,,,,,
Idaho,North Idaho Medal of Honor Highway,ID-3,US-12 near Spalding,I-90 near Rose Lake,,,,,,no person name extracted,,,,,,,,,,,,,,,,,,,,,,
Idaho,Vietnam Veterans Memorial Highway,I-84,Oregon border,Utah border,,,,,,no person name extracted,,,,,,,,,,,,,,,,,,,,,,
Idaho,Idaho Medal of Honor Highway,US-20,Oregon border,Montana border,,,,,,no person name extracted,,,,,,,,,,,,,,,,,,,,,,
Idaho,POW/MIA Memorial Highway,US-26,Oregon border,Wyoming border,,,,,,no person name extracted,,,,,,,,,,,,,,,,,,,,,,
Idaho,Bobby Chambers Memorial Highway,ID-6,US-95 at Potlatch,Potlatch western city limits,,Bobby Chambers,https://en.wikipedia.org/wiki/Bobby_Hutcherson,51.7,true,seq=14.7; last-mismatch:-4; human:+40; state-miss(Idaho):-10; us:+5,false,"[UNVERIFIED] The Wikipedia article is for Bobby Hutcherson, a jazz vibraphonist, not Bobby Chambers. The highway is named 'Bobby Chambers Memorial Highway' in Idaho, and there is no indication in the article that Bobby Hutcherson is connected to Idaho or has a background that would warrant a highway memorial (e.g., law enforcement, military, or local figure).",[],,,not found,not found,not found,no,no,no,no,,,,,,,,,,
Rhode Island,Iwo Jima Memorial Highway,Route 99 connector,Route 146 in Lincoln,Highland II Corporate Park in Cumberland (Route 99 connector in Woonsocket),,Iwo Jima,,35.3,false,seq=6.3; last-mismatch:-4; human:+40; state-miss(Rhode Island):-10; us:+5,,,,,,,,,,,,,,,,,,,,,,
Rhode Island,John Eldred Parkway,RI-138,Jamestown-Verrazzano Bridge (Jamestown),Newport-Pell Bridge (Jamestown),,,,,,no person name extracted,,,,,,,,,,,,,,,,,,,,,,
Rhode Island,Mary Brennan Parkway,Airport connector (Warwick),Airport connector in Warwick,,,,,,,no person name extracted,,,,,,,,,,,,,,,,,,,,,,
Rhode Island,Korean War Veterans Memorial Highway,I-295,Entire length of I-295 in Rhode Island,,,,,,,no person name extracted,,,,,,,,,,,,,,,,,,,,,,
Rhode Island,Amvets Memorial Highway,I-95,Connecticut border,Massachusetts border,,,,,,no person name extracted,,,,,,,,,,,,,,,,,,,,,,
Rhode Island,Bruce Sundlun Road,Access road to T.F. Green Airport,Post Road (U.S. Route 1) in Warwick,Rhode Island T.F. Green International Airport terminal (Warwick),,,,,,no person name extracted,,,,,,,,,,,,,,,,,,,,,,
Rhode Island,American Legion Highway,RI-4,Route 95,Route 1,,American Legion,,35.4,false,seq=6.4; last-mismatch:-4; human:+40; state-miss(Rhode Island):-10; us:+5,,,,,,,,,,,,,,,,,,,,,,
Rhode Island,Eddie Dowling Highway,RI-146,Entire length of Route 146,,,Eddie Dowling,https://en.wikipedia.org/wiki/Eddie_Dowling,55.0,true,seq=20.0; human:+40; state-miss(Rhode Island):-10; us:+5,false,"[UNVERIFIED] The provided text is only the Wikipedia page's navigation and header content, not the article's main body. It does not contain any biographical information about Eddie Dowling, such as his connection to Rhode Island or his profession, making it impossible to verify if he is the person the highway is named after.",[],,,not found,not found,not found,no,no,no,no,,,,,,,,,,
Rhode Island,Veterans’ Way,RI-78,Section of Route 78 in Westerly,,,,,,,no person name extracted,,,,,,,,,,,,,,,,,,,,,,
Rhode Island,Gladys Carr Bolhouse Connector Road,,America’s Cup Avenue (Newport),Washington Street (Newport),,,,,,no person name extracted,,,,,,,,,,,,,,,,,,,,,,
Rhode Island,Veterans’ Memorial Highway,RI-2,Junction of Route 2 and Route 102 south,Junction of Route 2 and Route 138,,,,,,no person name extracted,,,,,,,,,,,,,,,,,,,,,,
Rhode Island,Sgt. Timothy R. Giblin Highway,US-6,Hartford Avenue (Providence),Killingly Street (Providence),,Sgt. Timothy R. Giblin,,0.0,false,no-candidates,,,,,,,,,,,,,,,,,,,,,,
Rhode Island,1st Sergeant P. Andrew McKenna Memorial Highway,RI-114,Warren Bridge,Mount Hope Bridge,,,,,,no person name extracted,,,,,,,,,,,,,,,,,,,,,,
Rhode Island,Gold Star Family Highway,RI-102 (Chopmist Hill Road),Route 44 in Chepachet,Southern boundary of the town of Glocester,,,,,,no person name extracted,,,,,,,,,,,,,,,,,,,,,,
Rhode Island,Rhode Island Purple Heart Trail,RI-4 / RI-1,Warwick (Route 4),Westerly via Route 1 (merges in North Kingstown),,,,,,no person name extracted,,,,,,,,,,,,,,,,,,,,,,
Utah,Mike Dmitrich Highway,US-6,I-15,I-70,,Mike Dmitrich,https://en.wikipedia.org/wiki/Mike_Dmitrich,75.0,true,seq=20.0; human:+40; state(Utah):+10; us:+5,true,"Mike Dmitrich was an American politician and former educator born on January 1, 1937, in Price, Utah. He served as a member of the Utah State Senate, representing District 27, and was known for his contributions to state legislation. Dmitrich had a background in education before entering politics, working as a teacher and administrator. He passed away on December 28, 2020, in Price, Utah, leaving a legacy in Utah public service.","['University of Utah', 'Utah State University']",1937-01-01,2020-12-28,"Price, Utah, United States","Price, Utah, United States",male,no,yes,no,no,,,,,,,,,,
Utah,Pete Suazo Memorial Highway,SR-68,2100 South (Salt Lake City),1700 North (Salt Lake City),,Pete Suazo,https://en.wikipedia.org/wiki/Pete_Suazo,70.0,true,seq=20.0; human:+40; state(Utah):+10,true,"Pete Suazo was an American politician and educator born on May 13, 1952, in Salt Lake City, Utah. He served as a Democratic member of the Utah State Senate, representing District 2 from 1995 until his death. Suazo was also a teacher and coach, contributing to his community through both education and public service. He died on December 21, 2009, in Salt Lake City, Utah, leaving a legacy of advocacy for minority communities.","['University of Utah', ""Bachelor's Degree""]",1952-05-13,2009-12-21,"Salt Lake City, Utah, United States","Salt Lake City, Utah, United States",male,yes,yes,no,no,,,,,,,,,,
Utah,Pioneer Trail Memorial Highway,SR-65; SR-186,SR-84/SR-65 junction to SR-65/Emigration Canyon Road; SR-186 & Sunnyside Ave (Salt Lake City) to I-15,,,Pioneer Trail,https://en.wikipedia.org/wiki/Thomas_Rhoads,50.0,true,seq=4.6; last-mismatch:-4; human:+40; state(Utah):+10,false,"[UNVERIFIED] The provided Wikipedia article text appears to be a generic Wikipedia interface and does not contain any biographical information about Thomas Rhoads. Without content confirming the person's identity, profession, or connection to Utah, it cannot be verified as the correct individual for the 'Pioneer Trail Memorial Highway' designation.",[],,,not found,not found,not found,no,no,no,no,,,,,,,,,,
Utah,Veterans' Memorial Highway,I-15,Utah-Idaho border,Utah-Arizona border,,,,,,no person name extracted,,,,,,,,,,,,,,,,,,,,,,
Utah,Purple Heart Trail,I-80,Nevada-Utah border (Wendover),Wyoming-Utah border (west of Evanston),,,,,,no person name extracted,,,,,,,,,,,,,,,,,,,,,,
Utah,Tenth Mountain Division Memorial Highway,SR-224,Kimball Junction,SR-248 junction (Park City),,Tenth Mountain Division,,35.1,false,seq=6.1; last-mismatch:-4; human:+40; state-miss(Utah):-10; us:+5,,,,,,,,,,,,,,,,,,,,,,
Utah,K. Gunn McKay Highway,SR-39,Harrison Boulevard (Ogden),Huntsville First Street,,K. Gunn McKay,https://en.wikipedia.org/wiki/K._Gunn_McKay,75.0,true,seq=20.0; human:+40; state(Utah):+10; us:+5,true,"K. Gunn McKay was an American politician and member of the Democratic Party who served as a U.S. Representative from Utah. He was born on July 23, 1925, in Logan, Utah, and died on October 5, 2000, in Salt Lake City, Utah. McKay represented Utah's 1st congressional district from 1971 to 1981, focusing on issues like water resources and public lands. His career was marked by a commitment to western state interests and environmental policy during his tenure in Congress.","['Utah State University', 'University of Utah']",1925-07-23,2000-10-05,"Logan, Utah, United States","Salt Lake City, Utah, United States",male,no,yes,yes,no,,,,,,,,,,
Utah,James V. Hansen Highway,US-89,I-15 interchange (Farmington),SR-203 Harrison Boulevard (South Ogden),,James V. Hansen,https://en.wikipedia.org/wiki/Jim_Hansen_%28Utah_politician%29,75.0,true,seq=14.4; human:+40; state(Utah):+10; us:+5,true,"Jim Hansen is a Utah politician whose career and personal details are not fully provided in the given content. The content appears to be a Wikipedia page structure with navigation and table of contents, but lacks specific biographical data. No birth or death dates, achievements, or historical significance are included in the provided text. Therefore, a concise summary cannot be formulated from the available information.",[],,,not found,not found,male,no,yes,no,no,,,,,,,,,,
Utah,Cory B. Wride Memorial Highway,SR-73,SR-68,Tooele County line,,Cory B. Wride,,15.0,false,seq=2.4; last-mismatch:-4; state(Utah):+10; us:+5,,,,,,,,,,,,,,,,,,,,,,
Utah,Vietnam Veterans Memorial Highway,I-84,Utah-Idaho border,I-80 junction near Echo,,,,,,no person name extracted,,,,,,,,,,,,,,,,,,,,,,
