id,state,highway_name,route_no,from_location,to_location,county,person_name,tier,normalized_routes,parsed_from,parsed_to,parsed_county,from_lat,from_lon,from_geocode_source,to_lat,to_lon,to_geocode_source,centroid_lat,centroid_lon,centroid_source,status,confidence,path_length_miles,path_source,error_notes
16,Alaska,Elliott Highway,AK-2,,Manley Hot Springs (MP 154),,,6,"[{""type"": ""state_route"", ""ref"": ""AK 2""}]",,,,,,,,,,61.370716,-152.404419,state_centroid,centroid_found,very_low,,,phase3: overpass: no route geometry | osm_name: no result | osrm: no result or missing endpoints
17,Alaska,George Parks Highway,,Anchorage,Fairbanks,,George Parks,5,[],Anchorage,Fairbanks,,61.2163129,-149.894852,photon,64.8671599,-147.8507674,photon,63.041736400000005,-148.8728097,endpoint_midpoint,centroid_found,medium,,,phase3: osm_name: no result | osrm: no result or missing endpoints
18,Alaska,Richardson Highway,,Valdez,Fairbanks,,,5,[],Valdez,Fairbanks,,61.129068,-146.3658815,photon,64.8671599,-147.8507674,photon,62.998113950000004,-147.10832445,endpoint_midpoint,centroid_found,medium,,,phase3: osm_name: no result | osrm: no result or missing endpoints
19,Alaska,Steese Highway,AK-6,Fairbanks,Circle,,,1,"[{""type"": ""state_route"", ""ref"": ""AK 6""}]",Fairbanks,Circle,,64.8671599,-147.8507674,photon,61.5840663,-149.4276914,photon,63.225613100000004,-148.63922939999998,endpoint_midpoint,centroid_found,medium,,,phase3: overpass: no route geometry | osm_name: no result | osrm: no result or missing endpoints
20,Alaska,James W. Dalton Highway,,,,,James W. Dalton,6,[],,,,,,,,,,61.370716,-152.404419,state_centroid,centroid_found,very_low,,,phase3: osm_name: no result | osrm: no result or missing endpoints
21,Nevada,Micah David May Memorial Highway,I-15,near West Sahara Avenue,,,Micah David May,2,"[{""type"": ""interstate"", ""ref"": ""I 15""}]",near West Sahara Avenue,,,36.1445718,-115.1994811,photon_retry,,,,36.1445718,-115.1994811,from_point,centroid_found,medium,,,phase3: overpass: no route geometry | osm_name: no result | osrm: no result or missing endpoints
22,Nevada,Benjamin Michael Jenkins Memorial Highway,US-93,near U.S. 93 Alternate junction (north of Ely),,,Benjamin Michael Jenkins,2,"[{""type"": ""us_route"", ""ref"": ""US 93""}]",near U.S. 93 Alternate junction,,,35.4196802,-119.0570465,photon_retry,,,,35.4196802,-119.0570465,from_point,centroid_found,medium,,,phase3: overpass: no route geometry | osm_name: no result | osrm: no result or missing endpoints
23,Nevada,Jack Lee Spencer,Sr. Memorial Highway,I-80,approximately 20 miles east of Fernley (east of exit 65 Nightingale interchange),,,1,[],I-80,approximately 20 miles east of Fernley,,39.5643944,-119.4851217,photon,39.6078173,-119.2435695,photon_retry,39.586105849999996,-119.36434560000001,endpoint_midpoint,centroid_found,medium,,,phase3: osm_name: no result | osrm: no result or missing endpoints
24,Nevada,Carlos J. Borland Memorial Highway,I-80,approximately 1 mile east of Lovelock (near Humboldt River crossing),,,Carlos J. Borland,2,"[{""type"": ""interstate"", ""ref"": ""I 80""}]",approximately 1 mile east of Lovelock,,,40.1801273,-118.4747268,photon_retry,,,,40.1801273,-118.4747268,from_point,centroid_found,medium,,,phase3: overpass: no route geometry | osm_name: no result | osrm: no result or missing endpoints
25,Nevada,Creighton Travis Spencer Memorial Highway,I-80,approximately 10 miles west of Elko (west of exit 292 Hunter interchange),,,Creighton Travis Spencer,2,"[{""type"": ""interstate"", ""ref"": ""I 80""}]",approximately 10 miles west of Elko,,,40.8099622,-115.8294298,photon_retry,,,,40.8099622,-115.8294298,from_point,centroid_found,medium,,,phase3: overpass: no route geometry | osm_name: no result | osrm: no result or missing endpoints
26,Nevada,Franklin J. Minnie,Sr. Memorial Highway,I-80,near Verdi exit 4,,,1,[],I-80,near Verdi exit 4,,39.5643944,-119.4851217,photon,,,,39.5643944,-119.4851217,from_point,centroid_found,medium,,,phase2: to 'near Verdi exit 4': no result | phase3: osm_name: no result | osrm: no result or missing endpoints
27,Nevada,Anthony Francone Memorial Highway,SR-446,near SR-447 intersection,,,Anthony Francone,2,"[{""type"": ""state_route"", ""ref"": ""SR 446""}]",near SR-447 intersection,,,,,,,,,38.313515,-117.055374,state_centroid,centroid_found,very_low,,,phase2: from 'near SR-447 intersection': no result | phase3: overpass: no route geometry | osm_name: no result | osrm: no result or missing endpoints
28,North Dakota,Theodore Roosevelt Expressway,US 85 / US 2,US 85: South Dakota border to junction with US 2; US 2: Montana border to junction with US 85,,,,2,"[{""type"": ""us_route"", ""ref"": ""US 85""}, {""type"": ""us_route"", ""ref"": ""US 2""}]",US 85: South Dakota border to junction with US 2; US 2: Montana border to junction with US 85,,,47.8562359,-103.6466565,photon_border,,,,47.8562359,-103.6466565,from_point,centroid_found,medium,,,phase3: overpass: no route geometry | osm_name: no result | osrm: no result or missing endpoints
29,North Dakota,Yellowstone Trail,US 12,South Dakota border,Montana border,,,1,"[{""type"": ""us_route"", ""ref"": ""US 12""}]",South Dakota border,Montana border,,62.6632653,-141.0595022,photon_border,62.6632653,-141.0595022,photon_border,62.6632653,-141.0595022,endpoint_midpoint,centroid_found,medium,,,phase3: overpass: no route geometry | osm_name: no result | osrm: no result or missing endpoints | QA: centroid outside state bbox
30,North Dakota,Veterans Memorial Highway,ND 22,South Dakota border,Junction of ND 22 and ND 23,,,1,"[{""type"": ""state_route"", ""ref"": ""ND 22""}]",South Dakota border,ND 22 and ND 23,,38.9334828,-76.9741233,photon_border,46.8764941,-96.9035701,photon,42.904988450000005,-86.9388467,endpoint_midpoint,centroid_found,medium,,,phase3: overpass: no route geometry | osm_name: no result | osrm: no result or missing endpoints | QA: centroid outside state bbox
31,North Dakota,Akicita (Veteran) Memorial Highway,ND 57,Junction of US 281 and ND 57,Junction of ND 57 and ND 20,,,1,"[{""type"": ""state_route"", ""ref"": ""ND 57""}]",US 281 and ND 57,ND 57 and ND 20,,46.8806535,-98.7151935,photon,46.8761604,-96.7818622,photon,46.87840695,-97.74852785,endpoint_midpoint,centroid_found,medium,,,phase3: overpass: no route geometry | osm_name: no result | osrm: no result or missing endpoints
32,North Dakota,Trooper Beryl McLane Memorial Highway,ND 13,Edgeley,LaMoure,,Trooper Beryl McLane,1,"[{""type"": ""state_route"", ""ref"": ""ND 13""}]",Edgeley,LaMoure,,46.360359,-98.712049,photon,46.4473745,-98.534574,photon,46.403866750000006,-98.6233115,endpoint_midpoint,centroid_found,medium,,,phase3: overpass: no route geometry | osm_name: no result | osrm: no result or missing endpoints
33,North Dakota,PFC Henry Gurke Memorial Highway,ND 18,Intersection with ND 5,Canadian border,,PFC Henry Gurke,1,"[{""type"": ""state_route"", ""ref"": ""ND 18""}]",Intersection with ND 5,Canadian border,,46.8758289,-96.9281287,photon,,,,46.8758289,-96.9281287,from_point,centroid_found,medium,,,phase2: to 'Canadian border': no result | phase3: overpass: no route geometry | osm_name: no result | osrm: no result or missing endpoints
34,North Dakota,North Dakota Fallen Peace Officers Memorial Highway,ND 200,Minnesota border,Montana border,,,1,"[{""type"": ""state_route"", ""ref"": ""ND 200""}]",Minnesota border,Montana border,,38.9334828,-76.9741233,photon_border,38.9334828,-76.9741233,photon_border,38.9334828,-76.9741233,endpoint_midpoint,centroid_found,medium,,,phase3: overpass: no route geometry | osm_name: no result | osrm: no result or missing endpoints | QA: centroid outside state bbox
35,Illinois,CPL Richard L Daugherty Memorial Highway,IL Route 3,IL Route 156,Vanderbrook Drive in Waterloo,,Richard L Daugherty,1,"[{""type"": ""state_route"", ""ref"": ""SR 3""}]",IL Route 156,Vanderbrook Drive in Waterloo,,41.5480491,-88.2014944,photon,38.3358857,-90.1498341,photon_retry,39.941967399999996,-89.17566425000001,endpoint_midpoint,centroid_found,medium,,,phase3: overpass: no route geometry | osm_name: no result | osrm: no result or missing endpoints
36,Illinois,SPC Brandon Jacob Rowe Memorial Highway,IL Route 251,Bridge Street,Rockton Road in Roscoe,,SPC Brandon Jacob Rowe,1,"[{""type"": ""state_route"", ""ref"": ""SR 251""}]",Bridge Street,Rockton Road in Roscoe,,42.0564271,-87.7013703,nominatim,42.4345895,-89.0259782,photon_retry,42.2455083,-88.36367425,endpoint_midpoint,centroid_found,medium,,,phase3: overpass: no route geometry | osm_name: no result | osrm: no result or missing endpoints
37,Illinois,SGT Brian M Romines Memorial Highway,IL Route 146,Anna,Vienna,,SGT Brian M Romines,1,"[{""type"": ""state_route"", ""ref"": ""SR 146""}]",Anna,Vienna,,37.4603274,-89.2470282,photon,37.4153295,-88.8978435,photon,37.43782845,-89.07243585,endpoint_midpoint,centroid_found,medium,,,phase3: overpass: no route geometry | osm_name: no result | osrm: no result or missing endpoints
38,Illinois,"CWO4 John W Frederick, Jr., Memorial Highway",I-155,I-74,IL Route 9,,John W Frederick,1,"[{""type"": ""interstate"", ""ref"": ""I 155""}]",I-74,IL Route 9,,40.5523343,-89.6094593,photon,41.5480491,-88.2014944,photon,41.0501917,-88.90547685,endpoint_midpoint,centroid_found,medium,,,phase3: overpass: no route geometry | osm_name: no result | osrm: no result or missing endpoints
39,Illinois,LCPL Nicholas Kleiboeker Memorial Highway,US Route 50,,through Odin,,LCPL Nicholas Kleiboeker,6,"[{""type"": ""us_route"", ""ref"": ""US 50""}]",,,,,,,,,,40.349457,-88.986137,state_centroid,centroid_found,very_low,,,phase3: overpass: no route geometry | osm_name: no result | osrm: no result or missing endpoints
40,Illinois,Bruce Alan Williams Memorial Highway,US Route 40,,at St. Elmo,,Bruce Alan Williams,6,"[{""type"": ""us_route"", ""ref"": ""US 40""}]",,,,,,,,,,40.349457,-88.986137,state_centroid,centroid_found,very_low,,,phase3: overpass: no route geometry | osm_name: no result | osrm: no result or missing endpoints
41,Illinois,SP4 William Eugene Campbell Memorial Highway,IL Route 47,,through Gibson City,,,6,"[{""type"": ""state_route"", ""ref"": ""SR 47""}]",,,,,,,,,,40.349457,-88.986137,state_centroid,centroid_found,very_low,,,phase3: overpass: no route geometry | osm_name: no result | osrm: no result or missing endpoints
42,Illinois,SGT Bernard Lee Franke Memorial Highway,IL Route 138,,through Mt. Olive,,SGT Bernard Lee Franke,6,"[{""type"": ""state_route"", ""ref"": ""SR 138""}]",,,,,,,,,,40.349457,-88.986137,state_centroid,centroid_found,very_low,,,phase3: overpass: no route geometry | osm_name: no result | osrm: no result or missing endpoints
43,Idaho,Veterans Memorial Centennial Bridge,I-90,Bennett Bay bridge in Kootenai County,,,,2,"[{""type"": ""interstate"", ""ref"": ""I 90""}]",Bennett Bay bridge in Kootenai County,,,47.6425705,-116.718097,photon,,,,47.6425705,-116.718097,from_point,centroid_found,medium,,,phase3: overpass: no route geometry | osm_name: no result | osrm: no result or missing endpoints
44,Idaho,I.B. Perrine Bridge,US-93,Snake River Canyon bridge south of I-84 near Twin Falls,,,I.B. Perrine,2,"[{""type"": ""us_route"", ""ref"": ""US 93""}]",Snake River Canyon bridge south of I-84 near Twin Falls,,,42.5675428,-114.5709041,photon_retry,,,,42.5675428,-114.5709041,from_point,centroid_found,medium,,,phase3: overpass: no route geometry | osm_name: no result | osrm: no result or missing endpoints
45,Idaho,Stu Dopf Memorial Highway,US-95,Midvale,Cambridge,,Stu Dopf,1,"[{""type"": ""us_route"", ""ref"": ""US 95""}]",Midvale,Cambridge,,44.4712737,-116.7346066,photon,44.572596,-116.6760812,nominatim,44.521934849999994,-116.7053439,endpoint_midpoint,centroid_found,medium,,,phase3: overpass: no route geometry | osm_name: no result | osrm: no result or missing endpoints
46,Idaho,Purple Heart Trail,I-90,Washington border,Montana border,,,1,"[{""type"": ""interstate"", ""ref"": ""I 90""}]",Washington border,Montana border,,49.000562,-116.1815305,photon_border,49.000562,-116.1815305,photon_border,49.000562,-116.1815305,endpoint_midpoint,centroid_found,medium,,,phase3: overpass: no route geometry | osm_name: no result | osrm: no result or missing endpoints | QA: centroid outside state bbox
47,Idaho,North Idaho Medal of Honor Highway,ID-3,US-12 near Spalding,I-90 near Rose Lake,,,1,"[{""type"": ""state_route"", ""ref"": ""ID 3""}]",US-12 near Spalding,I-90 near Rose Lake,,46.4472533,-116.8174402,photon_retry,47.5388394,-116.4719662,photon_retry,46.99304635,-116.6447032,endpoint_midpoint,centroid_found,medium,,,phase3: overpass: no route geometry | osm_name: no result | osrm: no result or missing endpoints
48,Idaho,Vietnam Veterans Memorial Highway,I-84,Oregon border,Utah border,,,1,"[{""type"": ""interstate"", ""ref"": ""I 84""}]",Oregon border,Utah border,,,,,,,,44.240459,-114.478828,state_centroid,centroid_found,very_low,,,phase2: from 'Oregon border': no result | to 'Utah border': no result | phase3: overpass: no route geometry | osm_name: no result | osrm: no result or missing endpoints
49,Idaho,Idaho Medal of Honor Highway,US-20,Oregon border,Montana border,,,1,"[{""type"": ""us_route"", ""ref"": ""US 20""}]",Oregon border,Montana border,,34.1887534,-114.5740091,photon_border,34.1887534,-114.5740091,photon_border,34.1887534,-114.5740091,endpoint_midpoint,centroid_found,medium,,,phase3: overpass: no route geometry | osm_name: no result | osrm: no result or missing endpoints | QA: centroid outside state bbox
50,Idaho,POW/MIA Memorial Highway,US-26,Oregon border,Wyoming border,,,1,"[{""type"": ""us_route"", ""ref"": ""US 26""}]",Oregon border,Wyoming border,,37.4126462,-118.6130658,photon_border,37.4126462,-118.6130658,photon_border,37.4126462,-118.6130658,endpoint_midpoint,centroid_found,medium,,,phase3: overpass: no route geometry | osm_name: no result | osrm: no result or missing endpoints | QA: centroid outside state bbox
51,Idaho,Bobby Chambers Memorial Highway,ID-6,US-95 at Potlatch,Potlatch western city limits,,Bobby Chambers,1,"[{""type"": ""state_route"", ""ref"": ""ID 6""}]",US-95 at Potlatch,Potlatch western,,,,,,,,44.240459,-114.478828,state_centroid,centroid_found,very_low,,,phase2: from 'US-95 at Potlatch': no result | to 'Potlatch western': no result | phase3: overpass: no route geometry | osm_name: no result | osrm: no result or missing endpoints
52,Rhode Island,Iwo Jima Memorial Highway,Route 99 connector,Route 146 in Lincoln,Highland II Corporate Park in Cumberland (Route 99 connector in Woonsocket),,Iwo Jima,1,[],Route 146 in Lincoln,Highland II Corporate Park in Cumberland,,41.9565429,-71.4925319,photon,41.9667656,-71.4328363,photon_retry,41.96165425,-71.4626841,endpoint_midpoint,centroid_found,medium,,,phase3: osm_name: no result | osrm: no result or missing endpoints
53,Rhode Island,John Eldred Parkway,RI-138,Jamestown-Verrazzano Bridge (Jamestown),Newport-Pell Bridge (Jamestown),,,1,"[{""type"": ""interstate"", ""ref"": ""I 138""}]",Jamestown-Verrazzano Bridge,Newport-Pell Bridge,,41.5287427,-71.4049998,photon,41.5035896,-71.3423974,photon,41.516166150000004,-71.3736986,endpoint_midpoint,centroid_found,medium,,,phase3: overpass: no route geometry | osm_name: no result | osrm: no result or missing endpoints
54,Rhode Island,Mary Brennan Parkway,Airport connector (Warwick),Airport connector in Warwick,,,,2,[],Airport connector in Warwick,,,41.7225303,-71.4287263,photon,,,,41.7225303,-71.4287263,from_point,centroid_found,medium,,,phase3: osm_name: no result | osrm: no result or missing endpoints
55,Rhode Island,Korean War Veterans Memorial Highway,I-295,Entire length of I-295 in Rhode Island,,,,2,"[{""type"": ""interstate"", ""ref"": ""I 295""}]",Entire length of I-295 in Rhode Island,,,41.5524601,-71.2704553,nominatim_retry,,,,41.5524601,-71.2704553,from_point,centroid_found,medium,,,phase3: overpass: no route geometry | osm_name: no result | osrm: no result or missing endpoints
56,Rhode Island,Amvets Memorial Highway,I-95,Connecticut border,Massachusetts border,,,1,"[{""type"": ""interstate"", ""ref"": ""I 95""}]",Connecticut border,Massachusetts border,,37.9760819,-121.258233,photon_border,37.9760819,-121.258233,photon_border,37.9760819,-121.258233,endpoint_midpoint,centroid_found,medium,,,phase3: overpass: no route geometry | osm_name: no result | osrm: no result or missing endpoints | QA: centroid outside state bbox
57,Rhode Island,Bruce Sundlun Road,Access road to T.F. Green Airport,Post Road (U.S. Route 1) in Warwick,Rhode Island T.F. Green International Airport terminal (Warwick),,,1,[],Post Road in Warwick,Rhode Island T.F. Green International Airport terminal,,41.7225303,-71.4287263,photon,41.7225303,-71.4287263,photon,41.7225303,-71.4287263,endpoint_midpoint,centroid_found,medium,,,phase3: osm_name: no result | osrm: no result or missing endpoints
58,Rhode Island,American Legion Highway,RI-4,Route 95,Route 1,,American Legion,1,"[{""type"": ""interstate"", ""ref"": ""I 4""}]",Route 95,Route 1,,41.4020756,-71.6594502,nominatim,41.5360319,-71.4684608,nominatim,41.46905375,-71.56395549999999,endpoint_midpoint,centroid_found,medium,,,phase3: overpass: no route geometry | osm_name: no result | osrm: no result or missing endpoints
59,Rhode Island,Eddie Dowling Highway,RI-146,Entire length of Route 146,,,Eddie Dowling,2,"[{""type"": ""interstate"", ""ref"": ""I 146""}]",Entire length of Route 146,,,,,,,,,41.680893,-71.51178,state_centroid,centroid_found,very_low,,,phase2: from 'Entire length of Route 146': no result | phase3: overpass: no route geometry | osm_name: no result | osrm: no result or missing endpoints
60,Rhode Island,Veterans’ Way,RI-78,Section of Route 78 in Westerly,,,,2,"[{""type"": ""interstate"", ""ref"": ""I 78""}]",Section of Route 78 in Westerly,,,41.3775996,-71.8272911,photon_retry,,,,41.3775996,-71.8272911,from_point,centroid_found,medium,,,phase3: overpass: no route geometry | osm_name: no result | osrm: no result or missing endpoints
61,Rhode Island,Gladys Carr Bolhouse Connector Road,,America’s Cup Avenue (Newport),Washington Street (Newport),,,5,[],America’s Cup Avenue,Washington Street,,41.4914401,-71.3173186,photon,41.8233957,-71.4140631,photon,41.6574179,-71.36569085,endpoint_midpoint,centroid_found,medium,,,phase3: osm_name: no result | osrm: no result or missing endpoints
62,Rhode Island,Veterans’ Memorial Highway,RI-2,Junction of Route 2 and Route 102 south,Junction of Route 2 and Route 138,,,1,"[{""type"": ""interstate"", ""ref"": ""I 2""}]",Route 2 and Route 102 south,Route 2 and Route 138,,41.42348,-71.7862783,photon,41.4944386,-71.4560171,photon,41.458959300000004,-71.6211477,endpoint_midpoint,centroid_found,medium,,,phase3: overpass: no route geometry | osm_name: no result | osrm: no result or missing endpoints
63,Rhode Island,Sgt. Timothy R. Giblin Highway,US-6,Hartford Avenue (Providence),Killingly Street (Providence),,Sgt. Timothy R. Giblin,1,"[{""type"": ""us_route"", ""ref"": ""US 6""}]",Hartford Avenue,Killingly Street,,41.8186434,-71.4590425,photon,41.8204685,-71.4692265,photon,41.819555949999994,-71.4641345,endpoint_midpoint,centroid_found,medium,,,phase3: overpass: no route geometry | osm_name: no result | osrm: no result or missing endpoints
64,Rhode Island,1st Sergeant P. Andrew McKenna Memorial Highway,RI-114,Warren Bridge,Mount Hope Bridge,,,1,"[{""type"": ""interstate"", ""ref"": ""I 114""}]",Warren Bridge,Mount Hope Bridge,,41.7211,-71.2828016,photon,41.6398412,-71.2579591,photon,41.6804706,-71.27038035,endpoint_midpoint,centroid_found,medium,,,phase3: overpass: no route geometry | osm_name: no result | osrm: no result or missing endpoints
65,Rhode Island,Gold Star Family Highway,RI-102 (Chopmist Hill Road),Route 44 in Chepachet,Southern boundary of the town of Glocester,,,1,"[{""type"": ""interstate"", ""ref"": ""I 102""}]",Route 44 in Chepachet,Southern boundary of the town of Glocester,,41.9097635,-71.6656667,photon_retry,,,,41.9097635,-71.6656667,from_point,centroid_found,medium,,,phase2: to 'Southern boundary of the town of Glocester': no result | phase3: overpass: no route geometry | osm_name: no result | osrm: no result or missing endpoints
66,Rhode Island,Rhode Island Purple Heart Trail,RI-4 / RI-1,Warwick (Route 4),Westerly via Route 1 (merges in North Kingstown),,,1,"[{""type"": ""interstate"", ""ref"": ""I 4""}, {""type"": ""interstate"", ""ref"": ""I 1""}]",Warwick,Westerly via Route 1,,41.7225303,-71.4287263,photon,,,,41.7225303,-71.4287263,from_point,centroid_found,medium,,,phase2: to 'Westerly via Route 1': no result | phase3: overpass: no route geometry | osm_name: no result | osrm: no result or missing endpoints
67,Utah,Mike Dmitrich Highway,US-6,I-15,I-70,,Mike Dmitrich,1,"[{""type"": ""us_route"", ""ref"": ""US 6""}]",I-15,I-70,,41.1624462,-111.9382253,photon,38.7278031,-111.1346141,photon,39.94512465,-111.5364197,endpoint_midpoint,centroid_found,medium,,,phase3: overpass: no route geometry | osm_name: no result | osrm: no result or missing endpoints
68,Utah,Pete Suazo Memorial Highway,SR-68,2100 South (Salt Lake City),1700 North (Salt Lake City),,Pete Suazo,1,"[{""type"": ""state_route"", ""ref"": ""SR 68""}]",2100 South,1700 North,,41.1624462,-111.9382253,photon,40.7337049,-111.8958475,photon,40.94807555,-111.9170364,endpoint_midpoint,centroid_found,medium,,,phase3: overpass: no route geometry | osm_name: no result | osrm: no result or missing endpoints
69,Utah,Pioneer Trail Memorial Highway,SR-65; SR-186,SR-84/SR-65 junction to SR-65/Emigration Canyon Road; SR-186 & Sunnyside Ave (Salt Lake City) to I-15,,,Pioneer Trail,2,"[{""type"": ""state_route"", ""ref"": ""SR 65""}]",SR-84/SR-65 junction to SR-65/Emigration Canyon Road; SR-186 & Sunnyside Ave to I-15,,,,,,,,,40.150032,-111.862434,state_centroid,centroid_found,very_low,,,phase2: from 'SR-84/SR-65 junction to SR-65/Emigration Canyon Road; SR-186 & Sunnyside Ave to I-15': no result | phase3: overpass: no route geometry | osm_name: no result | osrm: no result or missing endpoints
