Highway,Commemorative Name,Highway Location,Commemorating,State Statute,cleaned_name,input_type,odmp_url,odmp_name,odmp_bio,odmp_age,odmp_tour,odmp_badge,odmp_cause,odmp_end_of_watch,odmp_incident_details,odmp_fuzzy_score,wikidata_occupation,wikidata_race,wikidata_sex,wikidata_birth_date,wikidata_death_date,wikipedia_link,ai_summary,ai_education,ai_dob,ai_dod,ai_place_of_birth,ai_place_of_death,ai_gender,ai_involved_in_sports,ai_involved_in_politics,ai_involved_in_military,ai_involved_in_music
WIS 50,Lee and Lynn Copen Memorial Highway,60th Ave to 70th Ave in Kenosha County,In recognition of Lee and Lynn Copen’s community contributions,2009 Act 193,Lee and Lynn Copen,highway,,,,,,,,,,,,,,,,,,[],,,,,,,,,
US 2,Major Richard I. Bong Memorial Highway,From Minnesota state line to Michigan state line,To honor Major Richard I. Bong’s WWII service,2003 Act 218,Major Richard I Bong,highway,,,,,,,,,,,,,,,,,,[],,,,,,,,,
WIS 173,173rd Airborne Brigade Highway,Between Monroe and Wood Counties,To honor 173rd Airborne Brigade service,2005 Act 238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US 53,Peace Memorial Highway,From La Crosse to Superior,To honor citizens’ contributions to international peace,1989 Act 343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIS 66,Polish Heritage Highway,From Stevens Point to Rosholt,To commemorate Polish American contributions,1997 Act 27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIS 160,Polish Veterans Memorial Highway,From Angelica to Pulaski,To honor Polish veterans,1997 Act 27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIS 13,POW/MIA Memorial Highway,From Wisconsin Dells to Superior,In honor of prisoners of war and MIA service members,1993 Act 396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US 14,Purple Heart Memorial Highway,From Richland Center to Minnesota state line,To honor Purple Heart recipients,1993 Act 347,Purple Heart,highway,,,,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Purple_Heart,"The Purple Heart is a United States military decoration awarded to those wounded or killed while serving. Established as the Badge of Military Merit by George Washington in 1782, it was revived in 1932 to honor combat-injured service members. It is the oldest military award still given to U.S. military personnel today. The medal features a purple heart-shaped design with a profile of Washington and is presented with a citation signed by the President.",[],,,not found,not found,not found,no,no,yes,no
US 12,Stephen Ambrose Memorial Highway,From County P to County Line Road in Whitewater,In recognition of historian Stephen Ambrose,2009 Act 172,Stephen Ambrose,highway,,,,,,,,,,,coach,,male,1974-03-08,,https://en.wikipedia.org/wiki/Steve_Sarkisian,"Steve Sarkisian is an American football coach and former quarterback born on March 8, 1974. He played college football at Brigham Young University (BYU) and briefly in the Canadian Football League before transitioning to coaching. Sarkisian gained prominence as the head coach at the University of Washington (2009–2013) and later the University of Southern California (USC), as well as offensive coordinator roles in the NFL and college football. Known for his offensive strategies, he has contributed significantly to the development of quarterbacks and modern football tactics, currently serving as the head coach at the University of Texas since 2021.","El Camino College, Brigham Young University (BYU), Bachelor's Degree",1974-03-08,,"Torrance, California, United States",not found,male,yes,no,no,no
WIS 32,32nd Division Memorial Highway,Illinois to Michigan state line,To honor the 32nd Infantry Division,s. 84.104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US 10,Vietnam War Veterans Memorial Highway,From Manitowoc to Minnesota state line,To honor Vietnam War veterans,1987 Act 117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIS 54,Wisconsin Firefighters and Emergency Medical Technicians Highway,From Algoma to Minnesota state line,To recognize firefighters and EMTs,2003 Act 218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US 151,Wisconsin Law Enforcement Officers Highway,From Illinois state line to Manitowoc,To honor law enforcement officers,2003 Act 218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I-90/94,Wisconsin Veterans Memorial Highway,From Illinois state line to Minnesota state line,In honor of all Wisconsin veterans,1987 Act 117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIS 29,World War I Veterans Memorial Highway,From Kewaunee to Minnesota state line,To honor WWI veterans,s. 84.103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US 41,World War II Veterans Memorial Highway,Between Milwaukee and Marinette,To honor WWII veterans,1989 Act 343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
