OBJECTID,MemorialHighwayName,Highway,Law,Description,LawWebLink,Biographies,GlobalID
11,American Legion Memorial Highway,I-75,250.102,"The portion of highway I-75 beginning at the Michigan-Ohio state line and extending north to Sault Ste. Marie shall be known as the ""American Legion Memorial Highway"".",250-102,"Representative Thomas Anderson of Southgate introduced a resolution to name Michigan's segment of I-75 ""The American Legion Memorial Highway"". The resolution was approved by the House on a voice vote Tuesday, February 10, 1969, and was approved by the Senate February 25, 1969, The Legislatures in the other states, through which the expressway passes, have been asked to approve similar measures thus giving the designation to the entire length of the Michigan-to-Florida expressway.",{19AF681D-3536-443D-8C00-81F78372B316}
12,Corpsman Aaron D. Ullom Memorial Bridge,US-10,250.1003a,"The bridge on highway US-10 over Eastman Avenue in the city of Midland shall be known as the ""Corpsman Aaron D. Ullom Memorial Bridge"".",250-1003a,"Aaron D. Ullom served in the United States Navy as a hospital corpsman. During a patrol, he was shot and killed by enemy fire while trying to apply a tourniquet to a wounded Marine in Helmand Province, Afghanistan, on July 12, 2011. Mr. Ullom was a 2009 Midland High School graduate, and had served in the Navy since October 2009 with the goal of pursuing a career in the medical field. ",{34F24DF5-E657-4A8D-8221-7DA766C2E78A}
13,Adler Memorial Highway,M-10,250.1019,"The portion of highway M-10 located in Oakland County between the intersections of US-24 and M-102 shall be known as the ""Adler Memorial Highway"".",250-1019,"Morris Adler, a Rabbi, of the Temple Shaarey Zedek in Southfield, was assassinated by a member of his congregation in 1966.",{4E397FDF-BBB5-4798-A10F-575B24347661}
14,Marine Lance Corporal Ryan Burgess Memorial Highway,US-10,250.1016a,"The portion of highway US-10 located in Midland County beginning at the intersection with North Stark Road and extending west to North West River Road shall be known as the ""Marine Lance Corporal Ryan Burgess Memorial Highway"".",250-1016a,"Lance Corporal Ryan Burgess was killed at the age of 21 on December 21, 2006, while serving in Iraq. He was a graduate of Meridian High School in the Village of Sanford, Midland County. According to his obituary in the Midland Daily News, Lance Corporal Burgess was killed by an improvised explosive device during his second tour in Iraq, where he was a vehicle commander and squad leader, and earned the Expert Rifle Marksmanship Badge. ",{1B791329-83C8-43DE-91C4-338AC1424368}
15,Gold Star Mothers Memorial Highway,M-55,250.2067,"Highway M-55 from the point of beginning in Manistee county and continuing east to the intersection of M-55 and M-115 in Wexford county shall be known as the ""Gold Star Mothers Memorial Highway"".",250-2067,"American Gold Star Mothers, Inc., established in 1928, is a group of women whose sons and daughters died while serving in the U.S. Armed Forces. To honor their children, members of the organization work with and support other veterans' organizations, volunteer at veterans' hospitals, and support the mothers of veterans who died while serving.",{665F0914-A516-46F8-93AF-8F4747B6357C}
16,Iron Brigade Memorial Highway,US-12,250.1048,"Highway US-12 in Wayne County extending west to the Michigan-Indiana state line in Berrien County shall be known as the ""Iron Brigade Memorial Highway"".",250-1048,"The Iron Brigade became one of the most celebrated military units on the American Civil War (1861–1865). Wearing distinctive black hats, they were easily recognized by friend and foe alike. The five volunteer regiments in the brigade were the 2nd, 6th and 7th Wisconsin, the 19th Indiana and the 24th Michigan. These regiments ranked among the most gallant and effective of the Union Army. U.S. 12, which intersects nearby, is named the Iron Brigade Memorial Highway in their honor. ",{3B1D7AC5-86A7-410F-BCAE-09ABF7CC31B2}
17,Moses J. Jones Parkway,US-31,250.1041,"Highway US-31, business route, also known as Seaway Drive, beginning at the intersection with Spring Street in Muskegon and continuing to the intersection with Getty Street in Muskegon shall be known as the ""Moses J. Jones Parkway"".",250-1041,"Moses J. Jones was a well known pastor at Muskegon’s John Wesley AME Zion Church for over 36 years. He is best remembered for his “good will dinners” that allowed him to both feed the hungry and at the same time foster interracial harmony. The grandson of slaves, Jones came to Muskegon from Hammond, Indiana in 1936. On a daily basis, Jones would scour bakeries and grocery stores for day old goods to feed to those in need. He would also connect the underprivileged with just out of fashion suits. When an individual could not afford the relatively cheap suit, Jones would give the suit away for free. Moses J. Jones also did outreach to the youth establishing a community recreation center in the basement of John Wesley AME Zion Church, where youths had a place to escape the streets and partake in table tennis and join basketball and baseball teams.",{67EECCD7-FF36-4B5E-A01D-50087EB4AA75}
18,Sheriff Robert Radden Memorial Highway,US-10,250.1071,"Highway US-10 in Lake county, beginning at the intersection of M-37 and US-10 and continuing east to the county line, shall be known as the ""Sheriff Robert Radden Memorial Highway"".",250-1071,"Sheriff Radden succumbed to injuries sustained one month earlier when he was struck by a vehicle. He responded to an emergency call at a bar after receiving reports of a fight at the location. He was struck by the vehicle as he walked from his car to the bar. The injuries caused him to lapse into a coma, to which he never recovered.",{A39EA08C-ABEA-4153-BC02-3ED7FE115CE4}
19,Marine Corps League Memorial Highway,M-54,250.1078,"Highway M-54 in Genesee County beginning at the intersection of M-54 and I-69 and continuing north to the intersection of M-54 and M-57 shall be known as the ""Marine Corps League Memorial Highway"".",250-1078,"The M-54 highway runs through the heart of Genesee County and is the site of the home of the Flint detachment of the Marine Corps League. The Marine Corps League is a veteran’s organization of the United States Marines that was founded in 1923 and has more than 50,000 members. The highway where the Flint Marine Corp League will be located is named the “Marine Corps League Memorial Highway” in honor of the sacrifices the marines made in service to their country.",{AFFD30AD-7FA6-40EE-A5A4-8F9F24B0EEE8}
20,United Spanish War Veterans' Memorial Highway,US-23,250.1007,"The portion of highway US-23 beginning at the border between Michigan and Ohio in Monroe County and extending north to the city of Mackinaw City shall be known as the ""United Spanish War Veterans' Memorial Highway"".",250-1007,"The United Spanish War Veterans was an American Veterans organization which consisted of veterans of the Spanish–American War, Philippine–American War and China Relief Expedition",{5F726505-CAC3-4878-8CBB-8D59F9EB8021}
21,Staff Sergeant Ergin V. Osman Memorial Highway,M-29,250.2065,"The portion of highway M-29 beginning at Gratiot avenue and extending east to the border between Macomb county and St. Clair county shall be known as the ""Staff Sergeant Ergin V. Osman Memorial Highway"".",250-2065,"35, of Jacksonville, N.C., assigned to the 4th Battalion, 101st Aviation Regiment, 159th Combat Aviation Brigade, 101st Airborne Division (Air Assault), Fort Campbell, Ky.Staff Sgt. Ergin V. Osman was one of six soldiers from the Army's 101st Airborne Ranger Pathfinders based at Fort Campbell who died when an improvised explosive device hit their unit May 26 in Kandahar province.",{A30C9420-4673-45B2-96FF-5F81ABD193C0}
22,Veteran's Memorial Causeway,M-120,250.1061,"Highway M-120 in Muskegon County beginning at the intersection of highway M-120, Lake Avenue and Whitehall Road, and extending south for 1 mile shall be known as the ""Veteran's Memorial Causeway"".",250-1061,"Title 38 of the Code of Federal Regulations defines a veteran as “a person who served in the active military, naval, or air service and who was discharged or released under conditions other than dishonorable.” This definition explains that any individual that completed a service for any branch of armed forces classifies as a veteran as long as they were not dishonorably discharged.",{931CE6C1-979D-4A4A-BD89-ACBD3381848C}
23,Ronald W. Reagan Memorial Highway,M-3,250.1092,"Highway M-3 in Macomb County beginning at the intersection of M-3 and Harrington Boulevard and continuing north to its end shall be known as the ""Ronald W. Reagan Memorial Highway"".",250-1092,"Born in Tampico, Illinois, on February 6, 1911, Ronald Reagan initially chose a career in entertainment, appearing in more than 50 films. While in Hollywood, he worked as president of the Screen Actor's Guild and met his future wife, Nancy (Davis) Reagan. He later served two terms as governor of California. Originally a liberal Democrat, Reagan ran for the U.S. presidency as a Republican and won two terms, beginning in 1980, ultimately becoming a conservative icon over the ensuing decades. Having suffered from Alzheimer's disease in his later years, Reagan died on June 5, 2004. ",{BB4C5151-D0C3-4C08-82EB-FC9A3C53027A}
24,Philip A. Hart Memorial Highway,I-275,250.1029,"Highway I-275 beginning at the intersection of I-275 and I-75 in Monroe County and extending north to I-96 in Oakland County shall be known as the ""Philip A. Hart Memorial Highway"".",250-1029,"Before serving three terms in the U.S. Senate, Philip Hart practiced law in Detroit, served in the U.S. Army during World War II, held a variety of State posts, and served as the Lieutenant Governor. Due to his focus in the Senate on legislation pertaining to civil rights, antitrust enforcement, and consumer and environmental protection, he became known as the “conscience of the Senate”. In addition to the highway, a Senate office building, Detroit’s Hart Plaza, and the Hart-Dole-Inouye Federal Center in Battle Creek are named after him.",{8DDD3622-2C3B-4830-B5F9-202BC4E32623}
25,Corporal Matthew Edwards Memorial Highway,US-24,250.2071,"The portion of US-24 beginning at the intersection of US-24 and Van Born road in the city of Taylor and continuing south to the intersection of US-24 and Pennsylvania road shall be known as the ""Corporal Matthew Edwards Memorial Highway"".",250-2071,"Corporal Matthew Edwards was shot and killed while responding to reports of a burglary in progress at an apartment complex on Pine Street at approximately 6:00 am. He and his partner encountered a man in the parking lot fitting the description of the suspect. As Corporal Edwards was speaking to him, the subject suddenly produced a handgun and fatally shot the officer. Corporal Edwards' partner returned fire and wounded the suspect. The suspect was found guilty of first degree premeditated murder in November 2011 and was sentenced to life in prison without parole. Corporal Edwards had served with the Taylor Police Department for nearly six years. He is survived by his wife and two children.",{36947F3B-B463-439F-8D9A-60245CBEF9BA}
26,Columbus Memorial Highway,M-102,250.1015,"The portion of M-102 from the intersection with Grand River Avenue in the city of Farmington and extending east to M-3 in Macomb County shall be known as the ""Columbus Memorial Highway"".",250-1015,"Christopher Columbus (c. 1451 to May 20, 1506) was an Italian explorer and navigator. In 1492, he sailed across the Atlantic from Spain in the Santa Maria, with the Pinta and the Niña ships alongside, hoping to find a new route to India. Between 1492 and 1504, he made a total of four voyages to the Caribbean and South America and has been credited for opening up the Americas to European colonization.",{071FDB38-243C-411E-A212-FFD6B968DE0D}
27,World War II Veterans Memorial Highway,M-37,250.105,"The portion of highway M-37 beginning at the intersection with US-10 in Lake County and extending north to the county line of Lake County and Wexford County shall be known as the ""World War II Veterans Memorial Highway"".",250-105,"There were 16,112,566 members of the United States Armed Forces during World War II. There were 291,557 battle deaths, 113,842 other deaths in service (non-theater), and 670,846 non-mortal woundings. According to the Department of Veterans Affairs, around 558,000 American veterans from the war were estimated to still be alive in September 2017.",{4E7F6728-46B3-4E1D-A48E-8DE8FFD74043}
28,Blue Star Memorial Highway,US-31,250.1011,"The portion of highway US-31 beginning at the border between Michigan and Indiana in Berrien County and extending to the Straits of Mackinac at the county line of Emmet and Cheboygan counties shall be known as the ""Blue Star Memorial Highway"".",250-1011,Blue Star Memorial Highways are marked to pay tribute to the United States Armed Forces. The National Council of State Garden Clubs started the program in 1945 after World War II. The Blue Star was used on service flags to denote a service member fighting in the war.,{7DB3D30E-3684-4A98-A77E-1057B41C59E8}
29,"Carl Oleson, Jr. Bridge",M-22,250.2074,"The bridge on highway M-22 in Leelanau county between Big Glen lake and Little Glen lake shall be known as the ""Carl Oleson, Jr. bridge"".",250-2074,"Carl Oleson, Jr owned a tackle/bait shop for many decades in Glen Arbor, alongside his wife Ruth and son Carl III.  ",{9E657824-EA71-4EEC-AF4A-3F91FA94B57A}
30,Sgt. Henry E. Plant Memorial Grand River Bridge Non-Motorized Trail,M-231,250.2062,"The nonmotorized multiuse lane on the bridge along the portion of highway M-231 over the Grand river and connecting Robinson township and Crockery township in Ottawa county shall be known as the ""Sgt. Henry E. Plant Memorial Grand River Bridge Non-Motorized Trail"".",250-2062,"Sgt. Henry Ebenezer Plant was born October 11, 1841 in Oswego County, New York. In 1854 he migrated with his parents and siblings to a farm at 120th Avenue and Leonard Street (soon to be the north end of the new M-231 highway) near Nunica and Spoonville in Ottawa County. Henry enlisted on December 5, 1861 in Company F, 14th Michigan Infantry. Politically Henry served in many Crockery Township positions including Highway Commissioner.",{C8CBBD11-6E5F-4C03-AE82-26193BE90721}
31,David Dunbar Buick Freeway and The UAW Freeway,I-475,250.1021,"The portion of highway I-475 that is in Genesee County shall be known as the ""David Dunbar Buick Freeway"" and ""The UAW Freeway"".",250-1021,"Scottish-American inventor and automotive pioneer, best known for starting the car company that became the Buick Motor Division of General Motors Corporation (GM).  David Buick died of colon cancer in Harper Hospital, Detroit, on March 5, 1929.",{603D7AB1-8D6F-4E8F-A4C8-275E061BBC62}
32,Veterans Memorial Bridge,Bridge on US-31,250.1074,"The bridge on US-31 in Ottawa County located in the city of Grand Haven between Jackson Street and the M-104 exit, locally known as the ""South Channel Bridge"", shall be known as the ""Veterans Memorial Bridge"".",250-1074,"Title 38 of the Code of Federal Regulations defines a veteran as “a person who served in the active military, naval, or air service and who was discharged or released under conditions other than dishonorable.” This definition explains that any individual that completed a service for any branch of armed forces classifies as a veteran as long as they were not dishonorably discharged.",{B991A9B6-A7C6-4753-9494-42A0EF07FD67}
33,Tim Sanborn Memorial Highway,US-127,250.1083,"The portion of highway US-127 in Clinton county beginning at the intersection of highway US-127 and Colony road and extending north to highway M-57 shall be known as the ""Tim Sanborn Memorial Highway"".",250-1083,"Firefighter Timothy Sanborn, a 6 year veteran of the Clinton Area Fire and Rescue Department, died Friday June 22, 2007. Timothy was operating a pumper at a structure fire when he suffered a major heart attack. He was transported to a local hospital but passed away before arriving.He left behind his wife of 31 years‚ Marie; and three daughters‚ Shannon (Tim) Freeland‚ Lisa (Derek) Smith‚ and Amy Sanborn. ",{3B74A4A4-C3E5-4501-A8E5-ACA5BB319050}
34,Walter P. Chrysler Freeway,I-75,250.1044,"The portion of highway I-75 that is within Wayne and Oakland counties shall be known as the “Walter P. Chrysler Freeway"".",250-1044,"Walter P. Chrysler, whose career started with the railroads, joined the automobile industry as works manager for Buick Motor Company in Flint at $6,000 a year. By 1915, Chrysler's salary was $50,000 a year, and he was president of Buick.  Later, Chrysler was the industrial troubleshooter who restored the Willys.  Overland Company and the Maxwell-Chalmers Company to financial health. He built the first Chrysler car in 1924. When the Chrysler Corporation was 10 years old, its founder had parlayed his original $8 million investment into a $235 million empire. Chrysler died in 1940 at the age of 65.",{DA7CA235-DDE5-44D3-9790-39B543B93BAD}
35,"John Wayne ""Dusty"" Marcum Memorial Highway",I-75,250.1008a,"The portion of highway I-75 in Genesee County shall be known as the ""John Wayne ""Dusty"" Marcum Memorial Highway"".",250-1008a,"Mr. Marcum had a distinguished career as an elite soldier in the United States Navy. He was a highly decorated soldier who had been a member of the elite special operations group SEAL Team Six since 2001. His awards include the following: two Silver Stars, four Bronze Stars, a Joint Service Commendation Medal, a Navy and Marine Corps Commendation Medal, an Army Commendation Medal, a Joint Service Achievement Medal, four separate combat action ribbons, and the Purple Heart. Flushing High School had given him a special award, and the local Moose Lodge has an annual scholarship awarded in his name and honor.",{1467A582-2DD1-48B7-B747-4C4DFF63B32A}
36,Vietnam Veterans Memorial Highway,M-59,250.1042,"The portion of highway M-59 from the intersection with I-96 in Livingston County and extending east to the intersection with I-94 in Macomb County, excluding the section of highway M-59 between the city of Pontiac and the city of Utica, shall be known as the ""Vietnam Veterans Memorial Highway"".",250-1042,"Vietnam Veterans of America, Inc. (VVA) is a national non-profit corporation founded in 1978 in the United States that is committed to serving the needs of all veterans. It is funded without any contribution from any branch of government. VVA is the only such organization chartered by the United States Congress and dedicated to Vietnam veterans and their families. The group holds a congressional charter under Title 36 of the United States Code. Its founding principle is ""Never again will one generation of veterans abandon another.""",{DD1F18D4-84CA-4604-AC25-F17D937B6C0B}
37,Purple Heart Highway,I-69,250.1065,"That portion of highway I-69 beginning at the intersection of I-69 east and U.S. 27 north in Clinton County and extending east to exit 105 in Shiawassee County shall be named the ""Purple Heart Highway"".",250-1065,"The Purple Heart is a United States military decoration awarded in the name of the president to those wounded or killed while serving on or after April 5, 1917, with the U.S. military.",{509605C9-F91B-4695-BBE7-1F7BDC27E1A1}
38,Holocaust Memorial Highway,M-10,250.1087,"The part of highway M-10 located in Oakland County, beginning at the intersection of M-10 and I-696 and continuing northwest to the intersection of M-10 and Orchard Lake Road, shall be known as the ""Holocaust Memorial Highway"".",250-1087,"Society cannot afford to forget such a horrific time, during which more than 11.0 million people— approximately the population of Michigan—died. It is critical to ensure that people, especially those of younger generations, to whom more recent tragedies such as the attacks of September 11, 2001, are more salient, understand the significance of the Holocaust. A designated road would serve as an enduring reminder to help ensure that the terrible events of the Holocaust are not repeated in the future. This portion of M-10 is located near the Holocaust Memorial Center on Orchard Lake Road in Farmington Hills.",{A059FEE4-9F5C-48C7-BDCB-61BFBCE74383}
39,Sydney Ouwinga Memorial Bypass,US-131,250.1055,"The part of the bypass of highway US-131 that is located between M-115 and Boon Road in Wexford County shall be known as the ""Sydney Ouwinga Memorial Bypass"".",250-1055,"Sydney Ouwinga served with great distinction as a State Representative of the 18th Representative District in the Michigan House of Representatives from 1982 until his untimely death in July 1991. During his nine years as an elected state officeholder, Mr. Ouwinga served as minority vice-chairman of the House Transportation Committee, and a member of the Agriculture Committee, the Forestry and Minerals Committee, and the Towns and Counties Committee.",{BBF8800D-0408-45CC-A3EF-2A62046612A2}
40,Firefighter Brian Woehlke Memorial Highway,M-153,250.1089,"The portion of highway M-153 beginning at the intersection of highway M-153 and Newburgh road and extending east to the intersection of highway M-153 and Wayne road shall be known as the ""Firefighter Brian Woehlke Memorial Highway"".",250-1089,"Firefighter Woehlke and the members of his fire department responded to a report of smoke coming from the roof of a strip mall that contained a pool hall and a restaurant. Firefighter Woehlke was assigned to enter the structure with a company officer and another firefighter. Firefighters had difficulty finding the seat of the fire and interior conditions worsened. The crew, in verbal communication, decided to exit the structure. Firefighter Woehlke became separated from the other members of his crew as they exited. When his absence was noted, a crew was sent into the structure to locate Firefighter Woehlke. Conditions did not allow a full search and firefighters did not report hearing a PASS device alarm or low air alarm while searching. He was found with his helmet, hood, and facepiece off but nearby. At autopsy, the level of carboxyhemoglobin is his blood was 35 percent. The cause of death was listed as thermal injuries and smoke and soot inhalation.",{61A948C2-51FC-44C1-9109-19A7A75E1DA9}
41,Veterans of Foreign Wars Memorial Highway,M-81,250.2075,"Highway M-81 in Tuscola County beginning at the intersection of highway M-81 and Van Geisen Road and continuing southwest to the intersection of highway M-81 and Chambers Road shall be known as the ""Veterans of Foreign Wars Memorial Highway"".",250-2075,"The Veterans of Foreign Wars of the United States (VFW, or simply Veterans of Foreign Wars) is an American War Veterans organization headquartered in Kansas City, Missouri. The Veterans of Foreign Wars was established by James C. Putnam on September 29, 1899, in Columbus, Ohio. The organization's membership consists of veterans who, as soldiers, sailors, marines, airmen, and coast guardsmen served the United States in wars, campaigns, and expeditions on foreign soil or in hostile waters.",{C93B26CC-66B0-4A48-B1BE-0DE7D8B54701}
42,AmVets Memorial Highway,I-96,250.1043,"Highway I-96 extending from Wayne County west to Muskegon County shall be known as the ""AmVets Memorial Highway"".",250-1043,"AMVETS (American Veterans) is the nation’s most inclusive Congressionally-chartered veterans service organization, representing the interests of 20 million veterans. AMVETS is open to and fighting for all who honorably served in the United States military, including the Reserve and Guard, with more than 250,000 members nationwide.",{19513644-99F2-4455-9F8E-11AE65CC6617}
43,Cesar E. Chavez Way,I-196,250.1066,"That portion of highway business route 196 in the city of Grand Rapids and the county of Kent beginning at the intersection of business route 196 and Franklin Street and continuing south to Clyde Park Avenue shall be commemorated as the ""Cesar E. Chavez Way"".",250-1066,"In 1994, Cesar Estrada Chavez was awarded the Presidential Medal of Freedom posthumously, to recognize a lifetime of unrelenting efforts and countless selfless acts that re-formed or removed many unyielding institutional structures that dehumanize people who live in poverty. After he died on April 23, 1993 at age 66, more than 40,000 people attended his funeral, little wonder since a 1975 Lou Harris poll showed that 17 million American adults were honoring the grape boycott he began five years earlier.",{137042E9-041E-46CE-ADE5-8717D3215B50}
44,Bernie Borden Memorial Overpass,Overpass at I-75 and M-57,250.106,"The overpass located at the intersection of highway I-75 and highway M-57 in Genesee County shall be known as the ""Bernie Borden Memorial Overpass"".",250-106,"Born on March 8, 1929, in Saginaw, Borden graduated from Clio High School, and was a three-sport athlete that helped earn him induction into the Greater Flint Area Sports Hall of Fame in 1947. He served in the U.S. Navy and married Betty Babcock on March 25, 1951.  Borden earned a bachelor's degree in science in 1956 from Ferris State University, where he played baseball. The owner of Borden's Pharmacy for nearly five decades, he was truly community driven. Borden died December 22, 2017 at the age of 88. ",{12021D37-640F-4664-96E7-49481927D98C}
